player_name,current_team,season,age,team_name_abbr,comp_name_abbr,pos,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,salary
Kel'el Ware,MIA,2024-25,20.0,MIA,NBA,C,64.0,36.0,22.2,4.0,7.3,0.554,0.5,1.7,0.315,3.5,0.629,0.592,0.7,1.0,0.687,1.8,5.6,7.4,0.9,0.6,1.1,0.9,1.7,9.3,
Keldon Johnson,SAS,2022-23,23.0,SAS,NBA,SF,63.0,63.0,32.7,8.0,17.7,0.452,2.1,6.5,0.329,5.9,0.523,0.512,3.9,5.2,0.749,0.9,4.2,5.0,2.9,0.7,0.2,2.1,2.0,22.0,
Keldon Johnson,SAS,2023-24,24.0,SAS,NBA,SF,69.0,27.0,29.5,5.7,12.5,0.454,1.8,5.3,0.346,3.8,0.533,0.527,2.5,3.2,0.792,1.4,4.1,5.5,2.8,0.7,0.3,1.4,2.2,15.7,
Keldon Johnson,SAS,2024-25,25.0,SAS,NBA,SF,77.0,0.0,23.9,4.8,10.0,0.482,1.1,3.6,0.318,3.7,0.573,0.538,1.9,2.5,0.773,1.5,3.4,4.8,1.6,0.6,0.3,1.0,1.5,12.7,
Kelly Olynyk,UTA,2022-23,31.0,UTA,NBA,C,68.0,68.0,28.6,4.1,8.2,0.499,1.4,3.5,0.394,2.7,0.576,0.583,2.9,3.4,0.853,1.2,5.0,6.2,3.7,0.9,0.5,2.5,3.4,12.5,
Kelly Oubre Jr.,PHI,2022-23,27.0,CHO,NBA,SF,48.0,40.0,32.3,7.4,17.1,0.431,2.3,7.1,0.319,5.1,0.51,0.497,3.3,4.3,0.76,1.4,3.8,5.2,1.1,1.4,0.4,1.3,2.9,20.3,
Kelly Oubre Jr.,PHI,2023-24,28.0,PHI,NBA,SF,68.0,52.0,30.2,5.7,12.9,0.441,1.5,4.8,0.311,4.2,0.517,0.498,2.6,3.4,0.75,1.4,3.6,5.0,1.5,1.1,0.7,1.3,2.9,15.4,
Kelly Oubre Jr.,PHI,2024-25,29.0,PHI,NBA,SF,60.0,57.0,34.6,5.8,12.4,0.47,1.2,4.0,0.293,4.6,0.555,0.518,2.3,3.1,0.751,1.6,4.5,6.1,1.8,1.5,0.5,1.3,3.0,15.1,
Kenrich Williams,OKC,2022-23,28.0,OKC,NBA,PF,53.0,10.0,22.8,3.4,6.5,0.517,0.9,2.5,0.373,2.4,0.608,0.59,0.3,0.7,0.436,1.8,3.1,4.9,2.0,0.8,0.3,0.6,2.1,8.0,
Kenrich Williams,OKC,2023-24,29.0,OKC,NBA,PF,69.0,1.0,14.9,1.9,4.1,0.468,0.8,2.0,0.397,1.1,0.54,0.568,0.1,0.2,0.5,0.9,2.1,3.0,1.3,0.6,0.1,0.5,1.5,4.7,
Kenrich Williams,OKC,2024-25,30.0,OKC,NBA,PF,69.0,7.0,16.4,2.5,5.1,0.483,1.0,2.5,0.386,1.5,0.574,0.576,0.4,0.6,0.718,0.9,2.6,3.5,1.4,0.6,0.1,0.6,1.6,6.3,
Kentavious Caldwell-Pope,ORL,2022-23,29.0,DEN,NBA,SG,76.0,76.0,31.3,3.8,8.3,0.462,1.8,4.2,0.423,2.1,0.502,0.569,1.4,1.6,0.824,0.5,2.3,2.7,2.4,1.5,0.5,1.1,1.9,10.8,
Kentavious Caldwell-Pope,ORL,2023-24,30.0,DEN,NBA,SG,76.0,76.0,31.6,3.6,7.7,0.46,1.6,4.1,0.406,1.9,0.52,0.566,1.3,1.5,0.894,0.4,2.0,2.4,2.4,1.3,0.6,1.0,2.0,10.1,
Kentavious Caldwell-Pope,ORL,2024-25,31.0,ORL,NBA,SG,77.0,77.0,29.6,3.1,7.1,0.439,1.5,4.3,0.342,1.6,0.589,0.543,1.1,1.2,0.863,0.4,1.8,2.2,1.8,1.3,0.4,0.8,1.8,8.7,
Keon Ellis,SAC,2022-23,23.0,SAC,NBA,SG,16.0,0.0,4.4,0.4,1.0,0.438,0.4,0.8,0.5,0.1,0.25,0.625,0.3,0.4,0.571,0.3,0.3,0.5,0.4,0.3,0.1,0.1,0.6,1.5,
Keon Ellis,SAC,2023-24,24.0,SAC,NBA,SG,57.0,21.0,17.2,1.9,4.1,0.461,1.2,2.9,0.417,0.6,0.578,0.612,0.5,0.6,0.743,0.6,1.6,2.2,1.5,0.9,0.5,0.6,2.0,5.4,
Keon Ellis,SAC,2024-25,25.0,SAC,NBA,SG,80.0,28.0,24.4,2.8,5.8,0.489,1.7,4.0,0.433,1.1,0.615,0.639,0.9,1.1,0.849,0.8,1.9,2.7,1.5,1.5,0.8,0.9,2.2,8.3,
Keon Johnson,BRK,2022-23,20.0,POR,NBA,SG,40.0,0.0,10.4,1.7,4.5,0.376,0.7,2.0,0.346,1.0,0.402,0.455,0.7,1.0,0.659,0.3,0.8,1.1,1.5,0.5,0.2,1.1,1.1,4.7,
Keon Johnson,BRK,2023-24,21.0,BRK,NBA,SG,5.0,0.0,12.2,1.6,4.2,0.381,0.8,2.0,0.4,0.8,0.364,0.476,2.2,2.4,0.917,0.6,0.8,1.4,0.6,0.6,0.2,1.0,1.0,6.2,
Keon Johnson,BRK,2024-25,22.0,BRK,NBA,SG,79.0,56.0,24.4,3.8,9.9,0.389,1.6,5.1,0.314,2.2,0.468,0.47,1.4,1.8,0.77,0.8,3.0,3.8,2.2,1.0,0.4,1.5,2.6,10.6,
Keshad Johnson,MIA,2024-25,23.0,MIA,NBA,SF,16.0,0.0,6.1,1.1,1.6,0.692,0.2,0.4,0.429,0.9,0.789,0.75,0.3,0.6,0.444,0.4,1.4,1.8,0.3,0.3,0.3,0.3,0.7,2.7,
Kessler Edwards,DAL,2023-24,23.0,SAC,NBA,SF,54.0,0.0,5.1,0.6,1.5,0.415,0.4,1.0,0.385,0.3,0.467,0.537,0.1,0.2,0.556,0.2,0.6,0.8,0.3,0.2,0.1,0.1,0.5,1.7,
Kessler Edwards,DAL,2024-25,24.0,DAL,NBA,SF,40.0,18.0,15.2,1.7,3.4,0.496,0.6,1.4,0.407,1.1,0.556,0.578,0.3,0.3,0.923,0.6,2.3,2.9,1.1,0.5,0.5,0.4,1.6,4.2,
Kevin Durant,PHO,2023-24,35.0,PHO,NBA,PF,75.0,75.0,37.2,10.0,19.1,0.523,2.2,5.4,0.413,7.8,0.567,0.581,4.8,5.6,0.856,0.5,6.1,6.6,5.0,0.9,1.2,3.3,1.8,27.1,
Kevin Durant,PHO,2024-25,36.0,PHO,NBA,PF,62.0,62.0,36.5,9.5,18.1,0.527,2.6,6.0,0.43,7.0,0.574,0.598,4.9,5.8,0.839,0.4,5.7,6.0,4.2,0.8,1.2,3.1,1.7,26.6,
Kevin Huerter,SAC,2022-23,24.0,SAC,NBA,SG,75.0,75.0,29.4,5.6,11.5,0.485,2.7,6.8,0.402,2.9,0.604,0.603,1.3,1.7,0.725,0.6,2.8,3.3,2.9,1.1,0.3,1.3,2.4,15.2,
Kevin Huerter,SAC,2023-24,25.0,SAC,NBA,SG,64.0,59.0,24.4,3.9,8.8,0.443,1.9,5.3,0.361,2.0,0.571,0.553,0.6,0.7,0.766,0.6,2.9,3.5,2.6,0.7,0.4,0.8,2.1,10.2,
Kevin Knox,GSW,2023-24,24.0,DET,NBA,SF,31.0,11.0,18.1,2.8,6.0,0.462,1.0,3.0,0.33,1.8,0.598,0.546,0.6,0.7,0.909,0.6,1.8,2.4,0.7,0.4,0.2,0.7,1.6,7.2,
Kevin Knox,GSW,2024-25,25.0,GSW,NBA,SF,14.0,0.0,6.0,1.3,2.6,0.5,0.3,1.1,0.267,1.0,0.667,0.556,0.4,0.6,0.75,0.5,0.7,1.2,0.4,0.1,0.3,0.3,0.4,3.3,
Kevin Love,MIA,2023-24,35.0,MIA,NBA,PF,55.0,5.0,16.8,2.9,6.5,0.44,1.5,4.4,0.344,1.3,0.643,0.557,1.5,2.0,0.787,1.1,5.1,6.1,2.1,0.3,0.2,0.9,1.8,8.8,
Kevin Love,MIA,2024-25,36.0,MIA,NBA,PF,23.0,9.0,10.9,1.8,5.0,0.357,1.0,2.9,0.358,0.7,0.354,0.461,0.7,1.0,0.696,1.0,3.1,4.1,1.0,0.7,0.2,0.6,0.9,5.3,
Kevin McCullar Jr.,NYK,2024-25,23.0,NYK,NBA,SF,4.0,0.0,7.3,0.5,1.8,0.286,0.0,0.3,0.0,0.5,0.333,0.286,0.5,0.5,1.0,0.0,2.0,2.0,0.5,0.3,0.3,0.0,1.5,1.5,
Kevin Porter Jr.,Did not play - other pro league,2022-23,22.0,HOU,NBA,PG,59.0,59.0,34.3,6.6,15.0,0.442,2.4,6.5,0.366,4.2,0.501,0.522,3.5,4.5,0.784,1.3,4.0,5.3,5.7,1.4,0.3,3.2,2.6,19.2,
Kevin Porter Jr.,Did not play - other pro league,2023-24,,Did not play - other pro league,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevon Looney,GSW,2022-23,26.0,GSW,NBA,C,82.0,70.0,23.9,3.0,4.7,0.63,0.0,0.0,0.0,3.0,0.632,0.63,1.1,1.9,0.606,3.3,5.9,9.3,2.5,0.6,0.6,0.5,2.7,7.0,
Kevon Looney,GSW,2023-24,27.0,GSW,NBA,C,74.0,36.0,16.1,1.9,3.1,0.597,0.0,0.0,0.0,1.9,0.599,0.597,0.8,1.1,0.675,1.9,3.7,5.7,1.8,0.4,0.4,0.7,2.1,4.5,
Kevon Looney,GSW,2024-25,28.0,GSW,NBA,C,76.0,6.0,15.0,1.9,3.7,0.514,0.0,0.1,0.4,1.9,0.516,0.518,0.7,1.3,0.566,2.4,3.6,6.1,1.6,0.6,0.5,0.5,2.0,4.5,
Keyonte George,UTA,2023-24,20.0,UTA,NBA,PG,75.0,44.0,27.0,4.3,10.9,0.391,2.0,5.9,0.334,2.3,0.459,0.482,2.5,3.0,0.848,0.2,2.6,2.8,4.4,0.5,0.1,2.5,1.2,13.0,
Keyonte George,UTA,2024-25,21.0,UTA,NBA,PG,67.0,35.0,31.5,5.4,13.7,0.391,2.6,7.6,0.343,2.8,0.449,0.485,3.5,4.3,0.818,0.4,3.4,3.8,5.6,0.7,0.1,2.7,1.7,16.8,
Khris Middleton,MIL,2022-23,31.0,MIL,NBA,SF,33.0,19.0,24.3,5.4,12.3,0.436,1.5,4.9,0.315,3.8,0.516,0.499,2.8,3.1,0.902,0.8,3.4,4.2,4.9,0.7,0.2,2.2,2.1,15.1,
Khris Middleton,MIL,2023-24,32.0,MIL,NBA,SF,55.0,55.0,27.0,5.8,11.7,0.493,1.7,4.5,0.381,4.1,0.563,0.566,1.8,2.2,0.833,0.7,3.9,4.7,5.3,0.9,0.3,2.3,2.6,15.1,
Killian Hayes,BRK,2022-23,21.0,DET,NBA,PG,76.0,56.0,28.3,4.0,10.7,0.377,1.1,3.8,0.28,3.0,0.429,0.426,1.2,1.5,0.821,0.4,2.5,2.9,6.2,1.4,0.4,2.3,2.9,10.3,
Killian Hayes,BRK,2023-24,22.0,DET,NBA,PG,42.0,31.0,24.0,2.8,6.7,0.413,0.5,1.8,0.297,2.3,0.455,0.452,0.8,1.2,0.66,0.3,2.6,2.8,4.9,0.9,0.5,1.2,1.8,6.9,
Killian Hayes,BRK,2024-25,23.0,BRK,NBA,PG,6.0,5.0,27.0,3.0,7.2,0.419,1.3,3.5,0.381,1.7,0.455,0.512,1.7,2.0,0.833,0.8,2.2,3.0,5.2,0.7,0.7,1.5,2.2,9.0,
Klay Thompson,DAL,2022-23,32.0,GSW,NBA,SF,69.0,69.0,33.0,7.9,18.1,0.436,4.4,10.6,0.412,3.6,0.47,0.556,1.7,1.9,0.879,0.6,3.6,4.1,2.4,0.7,0.4,1.8,1.9,21.9,
Klay Thompson,DAL,2023-24,33.0,GSW,NBA,SF,77.0,63.0,29.7,6.4,14.7,0.432,3.5,9.0,0.387,2.9,0.503,0.551,1.6,1.8,0.927,0.5,2.8,3.3,2.3,0.6,0.5,1.5,1.6,17.9,
Klay Thompson,DAL,2024-25,34.0,DAL,NBA,SF,72.0,72.0,27.3,5.0,12.2,0.412,3.0,7.7,0.391,2.0,0.448,0.535,0.9,1.0,0.905,0.6,2.8,3.4,2.0,0.7,0.4,1.2,1.1,14.0,
Kobe Brown,LAC,2023-24,24.0,LAC,NBA,PF,44.0,0.0,9.0,0.8,2.0,0.411,0.3,1.1,0.292,0.5,0.548,0.489,0.0,0.0,0.5,0.5,1.0,1.4,0.6,0.3,0.1,0.2,1.1,2.0,
Kobe Brown,LAC,2024-25,25.0,LAC,NBA,PF,40.0,0.0,6.8,0.8,1.8,0.458,0.2,0.7,0.231,0.7,0.587,0.5,0.1,0.2,0.714,0.5,1.2,1.6,0.6,0.2,0.1,0.3,0.6,1.9,
Kobe Bufkin,ATL,2023-24,20.0,ATL,NBA,SG,17.0,0.0,11.5,2.0,5.4,0.37,0.5,2.4,0.225,1.5,0.481,0.418,0.2,0.5,0.5,0.4,1.6,1.9,1.6,0.4,0.3,0.6,1.2,4.8,
Kobe Bufkin,ATL,2024-25,21.0,ATL,NBA,SG,10.0,0.0,12.4,1.8,4.7,0.383,0.4,1.9,0.211,1.4,0.5,0.426,1.3,1.8,0.722,0.5,1.6,2.1,1.7,0.3,0.2,0.8,0.9,5.3,
Kris Dunn,LAC,2022-23,28.0,UTA,NBA,PG,22.0,3.0,25.8,5.3,9.8,0.537,0.8,1.6,0.472,4.5,0.55,0.576,1.9,2.4,0.774,0.4,4.1,4.5,5.6,1.1,0.5,1.6,2.6,13.2,
Kris Dunn,LAC,2023-24,29.0,UTA,NBA,PG,66.0,32.0,18.9,2.2,4.7,0.47,0.6,1.7,0.369,1.6,0.525,0.535,0.3,0.5,0.688,0.8,2.1,2.9,3.8,1.0,0.4,1.2,2.0,5.4,
Kris Dunn,LAC,2024-25,30.0,LAC,NBA,PG,74.0,58.0,24.1,2.6,5.9,0.439,1.0,3.0,0.335,1.6,0.549,0.525,0.2,0.3,0.682,0.7,2.7,3.4,2.8,1.7,0.4,1.0,2.7,6.4,
Kris Murray,POR,2023-24,23.0,POR,NBA,SF,62.0,29.0,21.7,2.3,5.9,0.396,0.8,3.0,0.268,1.5,0.525,0.463,0.6,0.9,0.661,1.4,2.2,3.6,1.3,0.9,0.3,0.9,1.5,6.1,
Kris Murray,POR,2024-25,24.0,POR,NBA,SF,69.0,6.0,15.1,1.7,4.0,0.419,0.4,1.7,0.225,1.3,0.566,0.468,0.4,0.8,0.456,1.1,1.5,2.6,1.0,0.5,0.2,0.6,1.0,4.2,
Kristaps Porziņģis,BOS,2022-23,27.0,WAS,NBA,C,65.0,65.0,32.6,7.8,15.7,0.498,2.1,5.5,0.385,5.7,0.559,0.565,5.4,6.4,0.851,1.8,6.6,8.4,2.7,0.9,1.5,2.1,3.0,23.2,
Kristaps Porziņģis,BOS,2023-24,28.0,BOS,NBA,C,57.0,57.0,29.6,6.8,13.2,0.516,1.9,5.1,0.375,4.9,0.606,0.589,4.5,5.3,0.858,1.7,5.5,7.2,2.0,0.7,1.9,1.6,2.7,20.1,
Kristaps Porziņģis,BOS,2024-25,29.0,BOS,NBA,C,42.0,42.0,28.8,6.6,13.7,0.483,2.5,6.0,0.412,4.1,0.537,0.572,3.8,4.7,0.809,1.6,5.1,6.8,2.1,0.7,1.5,1.3,2.8,19.5,
Kyle Anderson,MIN,2022-23,29.0,MIN,NBA,PF,69.0,46.0,28.4,3.7,7.2,0.509,0.6,1.5,0.41,3.0,0.536,0.553,1.4,2.0,0.735,1.0,4.4,5.3,4.9,1.1,0.9,1.5,2.1,9.4,
Kyle Anderson,MIN,2023-24,30.0,MIN,NBA,PF,79.0,10.0,22.6,2.5,5.5,0.46,0.1,0.6,0.229,2.4,0.488,0.472,1.2,1.7,0.708,0.8,2.7,3.5,4.2,0.9,0.6,1.2,1.6,6.4,
Kyle Filipowski,UTA,2024-25,21.0,UTA,NBA,C,72.0,27.0,21.1,3.6,7.2,0.502,1.1,3.1,0.35,2.5,0.614,0.576,1.3,2.0,0.65,1.6,4.6,6.1,1.9,0.7,0.3,1.4,2.4,9.6,
Kyle Kuzma,WAS,2022-23,27.0,WAS,NBA,PF,64.0,64.0,35.0,8.0,17.8,0.448,2.5,7.5,0.333,5.5,0.533,0.518,2.7,3.7,0.73,0.9,6.4,7.2,3.7,0.6,0.5,3.0,2.3,21.2,
Kyle Kuzma,WAS,2023-24,28.0,WAS,NBA,PF,70.0,70.0,32.6,8.7,18.8,0.463,2.2,6.4,0.336,6.5,0.53,0.521,2.7,3.4,0.775,0.9,5.7,6.6,4.2,0.5,0.7,2.7,2.2,22.2,
Kyle Lowry,PHI,2022-23,36.0,MIA,NBA,PG,55.0,44.0,31.2,3.6,8.8,0.404,1.9,5.6,0.345,1.6,0.509,0.514,2.1,2.5,0.859,0.8,3.3,4.1,5.1,1.0,0.4,1.9,2.6,11.2,
Kyle Lowry,PHI,2024-25,38.0,PHI,NBA,PG,35.0,12.0,18.8,1.2,3.3,0.35,0.8,2.5,0.33,0.3,0.414,0.474,0.8,0.9,0.818,0.3,1.6,1.9,2.7,0.9,0.3,0.6,1.8,3.9,
Kyrie Irving,DAL,2023-24,31.0,DAL,NBA,SG,58.0,58.0,35.0,9.7,19.5,0.497,3.0,7.3,0.411,6.7,0.548,0.573,3.3,3.6,0.905,0.8,4.2,5.0,5.2,1.3,0.5,1.8,1.9,25.6,
Kyrie Irving,DAL,2024-25,32.0,DAL,NBA,SG,50.0,50.0,36.1,8.9,18.9,0.473,2.9,7.2,0.401,6.1,0.517,0.549,3.9,4.3,0.916,1.2,3.6,4.8,4.6,1.3,0.5,2.2,2.0,24.7,
Kyshawn George,WAS,2024-25,21.0,WAS,NBA,SG,68.0,38.0,26.5,3.0,8.0,0.372,1.7,5.2,0.322,1.3,0.464,0.476,1.0,1.4,0.753,0.7,3.5,4.2,2.5,1.0,0.7,1.4,3.0,8.7,
LaMelo Ball,CHO,2022-23,21.0,CHO,NBA,PG,36.0,36.0,35.2,8.2,20.0,0.411,4.0,10.6,0.376,4.2,0.45,0.51,2.8,3.4,0.836,1.2,5.3,6.4,8.4,1.3,0.3,3.6,3.3,23.3,
LaMelo Ball,CHO,2023-24,22.0,CHO,NBA,PG,22.0,22.0,32.3,8.3,19.2,0.433,3.2,9.0,0.355,5.1,0.5,0.515,4.1,4.7,0.865,1.3,3.8,5.1,8.0,1.8,0.2,3.8,3.6,23.9,
LaMelo Ball,CHO,2024-25,23.0,CHO,NBA,PG,47.0,47.0,32.0,8.6,21.3,0.405,3.8,11.2,0.339,4.8,0.478,0.494,4.1,4.9,0.843,1.0,3.9,4.9,7.4,1.1,0.3,3.6,3.3,25.2,
Lamar Stevens,MEM,2022-23,25.0,CLE,NBA,SF,62.0,25.0,18.1,2.1,4.6,0.448,0.5,1.5,0.316,1.6,0.513,0.5,0.6,0.9,0.702,0.8,2.6,3.3,0.5,0.4,0.3,0.4,1.3,5.3,
Lamar Stevens,MEM,2024-25,27.0,MEM,NBA,PF,17.0,1.0,9.1,1.7,3.7,0.46,0.5,1.6,0.296,1.2,0.583,0.524,0.5,0.6,0.727,0.2,2.0,2.2,0.5,0.3,0.2,0.6,0.9,4.4,
Landry Shamet,NYK,2022-23,25.0,PHO,NBA,SG,40.0,9.0,20.2,2.8,7.5,0.377,1.9,5.0,0.377,1.0,0.376,0.502,1.1,1.3,0.882,0.3,1.4,1.7,2.3,0.7,0.1,0.9,1.5,8.7,
Landry Shamet,NYK,2023-24,26.0,WAS,NBA,SG,46.0,5.0,15.8,2.6,6.0,0.431,1.2,3.4,0.338,1.4,0.556,0.527,0.8,1.0,0.826,0.3,1.0,1.3,1.2,0.5,0.2,0.7,1.7,7.1,
Landry Shamet,NYK,2024-25,27.0,NYK,NBA,SG,50.0,0.0,15.2,2.1,4.6,0.461,1.2,3.1,0.397,0.9,0.595,0.596,0.2,0.4,0.667,0.2,1.0,1.2,0.5,0.5,0.0,0.4,1.0,5.7,
Larry Nance Jr.,ATL,2022-23,30.0,NOP,NBA,C,65.0,1.0,21.2,2.9,4.7,0.61,0.2,0.6,0.333,2.6,0.654,0.633,0.8,1.2,0.696,1.6,3.8,5.4,1.8,0.9,0.6,0.6,2.0,6.8,
Larry Nance Jr.,ATL,2023-24,31.0,NOP,NBA,C,61.0,0.0,19.9,2.3,4.0,0.573,0.4,1.1,0.415,1.8,0.631,0.629,0.8,1.0,0.77,1.5,3.5,5.0,1.9,1.0,0.3,0.8,1.6,5.7,
Larry Nance Jr.,ATL,2024-25,32.0,ATL,NBA,PF,24.0,3.0,19.3,3.3,6.5,0.516,1.4,3.2,0.447,1.9,0.582,0.626,0.4,0.5,0.692,1.0,3.3,4.3,1.6,0.8,0.5,0.7,1.5,8.5,
